point cloud with 1511 points in dimension 3
distance matrix with 1511 points
value range: [0.00287787,4.192]
persistence intervals in dim 0:
 [0,0.00287787)
 [0,0.00399737)
 [0,0.00507862)
 [0,0.00509825)
 [0,0.00571104)
 [0,0.00588417)
 [0,0.00705571)
 [0,0.0071295)
 [0,0.0073639)
 [0,0.00767132)
 [0,0.00802947)
 [0,0.00903495)
 [0,0.009132)
 [0,0.0100781)
 [0,0.0101072)
 [0,0.012173)
 [0,0.0126488)
 [0,0.0136667)
 [0,0.0142567)
 [0,0.0145347)
 [0,0.0151272)
 [0,0.0160271)
 [0,0.0161994)
 [0,0.0170681)
 [0,0.0175622)
 [0,0.0178604)
 [0,0.0179626)
 [0,0.0183398)
 [0,0.0188447)
 [0,0.018907)
 [0,0.0191648)
 [0,0.0195452)
 [0,0.0197235)
 [0,0.0197733)
 [0,0.0198783)
 [0,0.0199049)
 [0,0.0202871)
 [0,0.0202992)
 [0,0.0211844)
 [0,0.0214277)
 [0,0.0228329)
 [0,0.0231888)
 [0,0.0238035)
 [0,0.0242174)
 [0,0.0248115)
 [0,0.0249443)
 [0,0.0258843)
 [0,0.0260619)
 [0,0.0264371)
 [0,0.0264586)
 [0,0.0265822)
 [0,0.0269319)
 [0,0.0270437)
 [0,0.0271528)
 [0,0.0273781)
 [0,0.0275908)
 [0,0.027927)
 [0,0.0283978)
 [0,0.0287184)
 [0,0.0287829)
 [0,0.029048)
 [0,0.030742)
 [0,0.0309849)
 [0,0.0325097)
 [0,0.0329282)
 [0,0.0330221)
 [0,0.0333238)
 [0,0.0334333)
 [0,0.0335259)
 [0,0.0336198)
 [0,0.0339536)
 [0,0.0340704)
 [0,0.0341979)
 [0,0.0346354)
 [0,0.0355798)
 [0,0.0358407)
 [0,0.0360512)
 [0,0.0361373)
 [0,0.0362579)
 [0,0.0364631)
 [0,0.0365849)
 [0,0.0375733)
 [0,0.0375805)
 [0,0.0377934)
 [0,0.0379977)
 [0,0.0383537)
 [0,0.0391232)
 [0,0.0392016)
 [0,0.0394038)
 [0,0.0394143)
 [0,0.0394824)
 [0,0.0395652)
 [0,0.039866)
 [0,0.0400831)
 [0,0.0403746)
 [0,0.0404469)
 [0,0.0407446)
 [0,0.0407553)
 [0,0.0409249)
 [0,0.0415956)
 [0,0.0416487)
 [0,0.0421734)
 [0,0.0424275)
 [0,0.0427078)
 [0,0.0427438)
 [0,0.0429969)
 [0,0.04313)
 [0,0.0438741)
 [0,0.0441193)
 [0,0.0446826)
 [0,0.0448901)
 [0,0.0449852)
 [0,0.0452467)
 [0,0.0453201)
 [0,0.0455135)
 [0,0.0455426)
 [0,0.0456572)
 [0,0.0459507)
 [0,0.047022)
 [0,0.0472613)
 [0,0.0472677)
 [0,0.0473684)
 [0,0.0474616)
 [0,0.0476797)
 [0,0.0478245)
 [0,0.0478307)
 [0,0.047867)
 [0,0.0482572)
 [0,0.0487922)
 [0,0.0490457)
 [0,0.0492058)
 [0,0.0492951)
 [0,0.0498302)
 [0,0.0498711)
 [0,0.0501264)
 [0,0.0505057)
 [0,0.0505661)
 [0,0.0508414)
 [0,0.0511449)
 [0,0.051171)
 [0,0.05121)
 [0,0.0512249)
 [0,0.0512553)
 [0,0.0515328)
 [0,0.0518797)
 [0,0.052063)
 [0,0.0521356)
 [0,0.0526263)
 [0,0.0533805)
 [0,0.053465)
 [0,0.053717)
 [0,0.0537464)
 [0,0.0540566)
 [0,0.0543661)
 [0,0.0545609)
 [0,0.0545683)
 [0,0.0546923)
 [0,0.0548458)
 [0,0.0548998)
 [0,0.0549979)
 [0,0.0550425)
 [0,0.0553843)
 [0,0.0557314)
 [0,0.056375)
 [0,0.05649)
 [0,0.0569376)
 [0,0.0572239)
 [0,0.0573975)
 [0,0.0574353)
 [0,0.0574484)
 [0,0.0581173)
 [0,0.0584911)
 [0,0.0584945)
 [0,0.0586403)
 [0,0.0586662)
 [0,0.0589935)
 [0,0.0594014)
 [0,0.0594314)
 [0,0.0596184)
 [0,0.0597057)
 [0,0.0600109)
 [0,0.0601267)
 [0,0.0602106)
 [0,0.0607392)
 [0,0.0610847)
 [0,0.0611119)
 [0,0.0611497)
 [0,0.0613441)
 [0,0.0613735)
 [0,0.0615941)
 [0,0.0622155)
 [0,0.0625263)
 [0,0.0627549)
 [0,0.0628994)
 [0,0.0629317)
 [0,0.0633981)
 [0,0.0636192)
 [0,0.0637068)
 [0,0.0640768)
 [0,0.0643529)
 [0,0.0643873)
 [0,0.065063)
 [0,0.0650979)
 [0,0.0655662)
 [0,0.0662519)
 [0,0.0662867)
 [0,0.0664128)
 [0,0.0666396)
 [0,0.0667282)
 [0,0.0667887)
 [0,0.0668605)
 [0,0.0675739)
 [0,0.0675971)
 [0,0.0676178)
 [0,0.0676481)
 [0,0.0676559)
 [0,0.0677147)
 [0,0.0678593)
 [0,0.067925)
 [0,0.0679944)
 [0,0.0680057)
 [0,0.068211)
 [0,0.0683414)
 [0,0.0686623)
 [0,0.0688597)
 [0,0.0691636)
 [0,0.0692909)
 [0,0.0696031)
 [0,0.0696113)
 [0,0.0696457)
 [0,0.0700625)
 [0,0.070126)
 [0,0.0703743)
 [0,0.0704281)
