point cloud with 5689 points in dimension 4
distance matrix with 5689 points
value range: [0,2.82843]
persistence intervals in dim 0:
 [0,1.80429e-17)
 [0,0.000105229)
 [0,0.000105229)
 [0,0.000215798)
 [0,0.000278136)
 [0,0.000278136)
 [0,0.000491206)
 [0,0.000491206)
 [0,0.000494823)
 [0,0.000494823)
 [0,0.000601144)
 [0,0.000898573)
 [0,0.0011664)
 [0,0.0011664)
 [0,0.00168279)
 [0,0.00183284)
 [0,0.00184363)
 [0,0.00239153)
 [0,0.00267342)
 [0,0.00311699)
 [0,0.00337567)
 [0,0.00342767)
 [0,0.00342865)
 [0,0.00347366)
 [0,0.0035026)
 [0,0.00367306)
 [0,0.00380303)
 [0,0.00383347)
 [0,0.00400389)
 [0,0.0040128)
 [0,0.00428789)
 [0,0.00440681)
 [0,0.00441516)
 [0,0.00448229)
 [0,0.00454905)
 [0,0.00459977)
 [0,0.00473451)
 [0,0.00496332)
 [0,0.00499403)
 [0,0.00522605)
 [0,0.00555357)
 [0,0.005556)
 [0,0.00568642)
 [0,0.00568642)
 [0,0.00568699)
 [0,0.00568699)
 [0,0.00568699)
 [0,0.00569322)
 [0,0.00569322)
 [0,0.00569322)
 [0,0.00569381)
 [0,0.0057076)
 [0,0.0057076)
 [0,0.00570791)
 [0,0.00570791)
 [0,0.00576998)
 [0,0.00579667)
 [0,0.0058361)
 [0,0.005863)
 [0,0.00586815)
 [0,0.00595739)
 [0,0.00605743)
 [0,0.00608216)
 [0,0.00610038)
 [0,0.00613965)
 [0,0.00625484)
 [0,0.00628293)
 [0,0.00649497)
 [0,0.006513)
 [0,0.00653082)
 [0,0.00656311)
 [0,0.00657484)
 [0,0.00663336)
 [0,0.00678817)
 [0,0.00680759)
 [0,0.00694573)
 [0,0.00696585)
 [0,0.0069671)
 [0,0.00697124)
 [0,0.00702915)
 [0,0.00715597)
 [0,0.00716549)
 [0,0.00719339)
 [0,0.00722867)
 [0,0.0073148)
 [0,0.00731524)
 [0,0.00731524)
 [0,0.0073182)
 [0,0.00733469)
 [0,0.0074359)
 [0,0.00746477)
 [0,0.00755184)
 [0,0.0076303)
 [0,0.00775746)
 [0,0.00778442)
 [0,0.00780928)
 [0,0.00789981)
 [0,0.00790318)
 [0,0.00793436)
 [0,0.00793436)
 [0,0.00796673)
 [0,0.00799884)
 [0,0.00802769)
 [0,0.00810413)
 [0,0.00814505)
 [0,0.00816377)
 [0,0.00819029)
 [0,0.00822346)
 [0,0.00831837)
 [0,0.00833185)
 [0,0.00838299)
 [0,0.00840233)
 [0,0.00846555)
 [0,0.00854112)
 [0,0.00857004)
 [0,0.00861892)
 [0,0.00862165)
 [0,0.0088927)
 [0,0.00890463)
 [0,0.00900004)
 [0,0.00900004)
 [0,0.00902466)
 [0,0.00909733)
 [0,0.0091431)
 [0,0.00940328)
 [0,0.00950321)
 [0,0.00964323)
 [0,0.00968521)
 [0,0.0097717)
 [0,0.00978964)
 [0,0.00979983)
 [0,0.00982281)
 [0,0.00993839)
 [0,0.00994459)
 [0,0.0101021)
 [0,0.0101937)
 [0,0.0101954)
 [0,0.0102036)
 [0,0.0102921)
 [0,0.0103532)
 [0,0.0103654)
 [0,0.01037)
 [0,0.0104212)
 [0,0.0104943)
 [0,0.0105496)
 [0,0.0105658)
 [0,0.0105916)
 [0,0.010671)
 [0,0.0106711)
 [0,0.0106723)
 [0,0.0107162)
 [0,0.0108704)
 [0,0.0108805)
 [0,0.0109799)
 [0,0.0109874)
 [0,0.0109889)
 [0,0.0110201)
 [0,0.0110201)
 [0,0.0110306)
 [0,0.0110863)
 [0,0.0111071)
 [0,0.0112176)
 [0,0.0112198)
 [0,0.0112505)
 [0,0.0112613)
 [0,0.0112861)
